i,State
0,X4Sigma-
1,X4Sigma-
2,X4Sigma-
3,X4Sigma-
4,X4Sigma-
5,X4Sigma-
6,a2Sigma-
7,X4Sigma-
8,a2Sigma-
9,X4Sigma-
10,Ap4Phi
11,a2Sigma-
12,X4Sigma-
13,Ap4Phi
14,b2Gamma
15,a2Sigma-
16,X4Sigma-
17,Ap4Phi
18,A4Pi
19,b2Gamma
20,X4Sigma-
21,a2Sigma-
22,c2Delta
23,Ap4Phi
24,0
25,0
26,A4Pi
27,d2Sigma+
28,X4Sigma-
29,a2Sigma-
30,b2Gamma
31,c2Delta
32,Ap4Phi
33,A4Pi
34,X4Sigma-
35,d2Sigma+
36,a2Sigma-
37,b2Gamma
38,Ap4Phi
39,c2Delta
40,A4Pi
41,X4Sigma-
42,d2Sigma+
43,a2Sigma-
44,Ap4Phi
45,B4Pi
46,b2Gamma
47,c2Delta
48,A4Pi
49,X4Sigma-
50,Ap4Phi
51,a2Sigma-
52,d2Sigma+
53,B4Pi
54,b2Gamma
55,c2Delta
56,A4Pi
57,X4Sigma-
58,Ap4Phi
59,a2Sigma-
60,B4Pi
61,d2Sigma+
62,b2Gamma
63,c2Delta
64,A4Pi
65,X4Sigma-
66,Ap4Phi
67,B4Pi
68,e2Phi
69,a2Sigma-
70,A4Pi
71,b2Gamma
72,d2Sigma+
73,c2Delta
74,X4Sigma-
75,Ap4Phi
76,B4Pi
77,a2Sigma-
78,e2Phi
79,A4Pi
80,b2Gamma
81,d2Sigma+
82,c2Delta
83,X4Sigma-
84,Ap4Phi
85,f2Pi
86,B4Pi
87,A4Pi
88,a2Sigma-
89,e2Phi
90,b2Gamma
91,c2Delta
92,d2Sigma+
93,X4Sigma-
94,C4Sigma-
95,Ap4Phi
96,B4Pi
97,A4Pi
98,f2Pi
99,a2Sigma-
100,e2Phi
101,g2Pi
102,X4Sigma-
103,b2Gamma
104,c2Delta
105,d2Sigma+
106,C4Sigma-
107,Ap4Phi
108,A4Pi
109,B4Pi
110,a2Sigma-
111,f2Pi
112,e2Phi
113,g2Pi
114,X4Sigma-
115,D4Delta
116,b2Gamma
117,c2Delta
118,C4Sigma-
119,d2Sigma+
120,Ap4Phi
121,A4Pi
122,B4Pi
123,a2Sigma-
124,f2Pi
125,e2Phi
126,X4Sigma-
127,D4Delta
128,g2Pi
129,C4Sigma-
130,b2Gamma
131,c2Delta
132,Ap4Phi
133,d2Sigma+
134,A4Pi
135,B4Pi
136,X
137,a2Sigma-
138,X4Sigma-
139,f2Pi
140,e2Phi
141,D4Delta
142,C4Sigma-
143,g2Pi
144,Ap4Phi
145,c2Delta
146,b2Gamma
147,A4Pi
148,d2Sigma+
149,B4Pi
150,X
151,a2Sigma-
152,X4Sigma-
153,f2Pi
154,D4Delta
155,e2Phi
156,C4Sigma-
157,Ap4Phi
158,A4Pi
159,c2Delta
160,g2Pi
161,b2Gamma
162,B4Pi
163,d2Sigma+
164,X4Sigma-
165,a2Sigma-
166,X
167,D4Delta
168,e2Phi
169,Ap4Phi
170,f2Pi
171,C4Sigma-
172,A4Pi
173,c2Delta
174,b2Gamma
175,g2Pi
176,B4Pi
177,d2Sigma+
178,X4Sigma-
179,a2Sigma-
180,X
181,Ap4Phi
182,D4Delta
183,A4Pi
184,C4Sigma-
185,e2Phi
186,f2Pi
187,c2Delta
188,b2Gamma
189,g2Pi
190,B4Pi
191,X4Sigma-
192,d2Sigma+
193,a2Sigma-
194,X
195,A4Pi
196,Ap4Phi
197,D4Delta
198,C4Sigma-
199,e2Phi
200,f2Pi
201,c2Delta
202,b2Gamma
203,B4Pi
204,g2Pi
205,X4Sigma-
206,d2Sigma+
207,a2Sigma-
208,A4Pi
209,Ap4Phi
210,X
211,D4Delta
212,C4Sigma-
213,e2Phi
214,f2Pi
215,c2Delta
216,B4Pi
217,b2Gamma
218,X4Sigma-
219,g2Pi
220,A4Pi
221,a2Sigma-
222,Ap4Phi
223,d2Sigma+
224,X
225,C4Sigma-
226,D4Delta
227,e2Phi
228,B4Pi
229,c2Delta
230,f2Pi
231,X4Sigma-
232,b2Gamma
233,g2Pi
234,A4Pi
235,Ap4Phi
236,a2Sigma-
237,d2Sigma+
238,C4Sigma-
239,X
240,a2
241,D4Delta
242,e2Phi
243,B4Pi
244,X4Sigma-
245,c2Delta
246,b2Gamma
247,f2Pi
248,A4Pi
249,g2Pi
250,X
251,Ap4Phi
252,Ap
253,a2Sigma-
254,C4Sigma-
255,d2Sigma+
256,D4Delta
257,a2
258,X
259,B4Pi
260,e2Phi
261,X4Sigma-
262,A4Pi
263,c2Delta
264,b2Gamma
265,f2Pi
266,Ap4Phi
267,g2Pi
268,a2Sigma-
269,Ap
270,C4Sigma-
271,d2Sigma+
272,X
273,D4Delta
274,B4Pi
275,X4Sigma-
276,a2
277,e2Phi
278,A4Pi
279,c2Delta
280,b2Gamma
281,Ap4Phi
282,g2Pi
283,a2Sigma-
284,f2Pi
285,Ap
286,C4Sigma-
287,d2Sigma+
288,X
289,D4Delta
290,X4Sigma-
291,B4Pi
292,A4Pi
293,A
294,e2Phi
295,a2
296,c2Delta
297,Ap4Phi
298,b2Gamma
299,g2Pi
300,a2Sigma-
301,f2Pi
302,C4Sigma-
303,Ap
304,X4Sigma-
305,A4Pi
306,b2
307,B4Pi
308,D4Delta
309,X
310,d2Sigma+
311,A
312,e2Phi
313,Ap4Phi
314,c2Delta
315,a2
316,Ap
317,b2Gamma
318,a2Sigma-
319,g2Pi
320,X
321,C4Sigma-
322,f2Pi
323,X4Sigma-
324,A4Pi
325,B4Pi
326,Ap
327,D4Delta
328,d2Sigma+
329,b2
330,A
331,Ap4Phi
332,X
333,e2Phi
334,c2Delta
335,b2Gamma
336,a2
337,a2Sigma-
338,c2
339,g2Pi
340,C4Sigma-
341,A4Pi
342,X4Sigma-
343,Ap
344,B4Pi
345,f2Pi
346,A
347,Ap4Phi
348,D4Delta
349,X
350,d2Sigma+
351,e2Phi
352,b2
353,c2Delta
354,b2Gamma
355,d2
356,a2Sigma-
357,A
358,g2Pi
359,A4Pi
360,C4Sigma-
361,a2
362,X4Sigma-
363,c2
364,B4Pi
365,Ap
366,f2Pi
367,Ap4Phi
368,D4Delta
369,X
370,A
371,d2Sigma+
372,e2Phi
373,c2Delta
374,B
375,b2Gamma
376,A4Pi
377,a2Sigma-
378,b2
379,X4Sigma-
380,C4Sigma-
381,g2Pi
382,d2
383,a2
384,B4Pi
385,c2
386,Ap4Phi
387,Ap
388,f2Pi
389,D4Delta
390,A
391,X
392,e2Phi
393,d2Sigma+
394,c2Delta
395,A4Pi
396,a2Sigma-
397,X4Sigma-
398,B
399,b2Gamma
400,C4Sigma-
401,g2Pi
402,b2
403,B4Pi
404,Ap4Phi
405,a2
406,d2
407,Ap
408,c2
409,X
410,f2Pi
411,A
412,D4Delta
413,e2Phi
414,A4Pi
415,d2Sigma+
416,c2Delta
417,X4Sigma-
418,a2Sigma-
419,b2Gamma
420,C4Sigma-
421,B
422,g2Pi
423,B4Pi
424,Ap4Phi
425,X
426,b2
427,a2
428,Ap
429,A4Pi
430,d2
431,A
432,e2Phi
433,f2Pi
434,c2
435,D4Delta
436,X4Sigma-
437,c2Delta
438,d2Sigma+
439,X
440,a2Sigma-
441,C4Sigma-
442,b2Gamma
443,B4Pi
444,g2Pi
445,Ap4Phi
446,B
447,A4Pi
448,b2
449,Ap
450,a2
451,X4Sigma-
452,A
453,e2Phi
454,X
455,c2Delta
456,D4Delta
457,f2Pi
458,a2Sigma-
459,d2Sigma+
460,d2
461,C4Sigma-
462,c2
463,B4Pi
464,b2Gamma
465,Ap4Phi
466,g2Pi
467,B
468,A4Pi
469,e2
470,X4Sigma-
471,Ap
472,A
473,e2Phi
474,b2
475,a2
476,c2Delta
477,a2Sigma-
478,X
479,D4Delta
480,C4Sigma-
481,g2Pi
482,d2Sigma+
483,B4Pi
484,Ap4Phi
485,b2Gamma
486,f2Pi
487,c2
488,d2
489,A4Pi
490,B
491,X4Sigma-
492,e2Phi
493,A
494,e2
495,Ap
496,a2Sigma-
497,c2Delta
498,Ap4Phi
499,C4Sigma-
500,B4Pi
501,g2Pi
502,X
503,a2
504,D4Delta
505,d2Sigma+
506,b2
507,b2Gamma
508,C
509,A4Pi
510,f2Pi
511,B
512,c2
513,X4Sigma-
514,d2
515,e2Phi
516,Ap4Phi
517,a2Sigma-
518,c2Delta
519,B4Pi
520,Ap
521,C4Sigma-
522,A
523,g2Pi
524,B
525,e2
526,X
527,A4Pi
528,b2Gamma
529,D4Delta
530,d2Sigma+
531,a2
532,C
533,b2
534,f2
535,f2Pi
536,X4Sigma-
537,c2
538,A
539,B
540,Ap4Phi
541,a2Sigma-
542,e2Phi
543,B4Pi
544,X
545,c2Delta
546,C4Sigma-
547,d2
548,g2Pi
549,A4Pi
550,Ap
551,A
552,b2Gamma
553,d2Sigma+
554,D4Delta
555,e2
556,X4Sigma-
557,C
558,X
559,a2
560,f2Pi
561,b2
562,D
563,f2
564,Ap4Phi
565,B4Pi
566,a2Sigma-
567,B
568,e2Phi
569,A4Pi
570,c2
571,C4Sigma-
572,c2Delta
573,g2Pi
574,A
575,g2
576,d2
577,Ap
578,b2Gamma
579,X
580,X4Sigma-
581,d2Sigma+
582,D4Delta
583,C
584,e2
585,a2
586,Ap4Phi
587,b2
588,f2Pi
589,A4Pi
590,B4Pi
591,a2Sigma-
592,e2Phi
593,D
594,g2Pi
595,C4Sigma-
596,C
597,c2Delta
598,b2
599,B
600,A
601,f2
602,c2
603,X4Sigma-
604,b2Gamma
605,Ap
606,d2Sigma+
607,X
608,D4Delta
609,d2
610,g2
611,Ap4Phi
612,C
613,A4Pi
614,B4Pi
615,a2
616,a2Sigma-
617,e2
618,e2Phi
619,C4Sigma-
620,c2Delta
621,f2Pi
622,g2Pi
623,b2
624,X4Sigma-
625,A
626,B
627,D
628,b2Gamma
629,Ap
630,d2Sigma+
631,f2
632,X
633,c2
634,Ap4Phi
635,A4Pi
636,D4Delta
637,B4Pi
638,g2Pi
639,C
640,a2Sigma-
641,d2
642,C4Sigma-
643,e2Phi
644,c2Delta
645,a2
646,g2
647,X4Sigma-
648,f2Pi
649,e2
650,A
651,b2Gamma
652,b2
653,B
654,Ap4Phi
655,D
656,A4Pi
657,Ap
658,f2
659,X
660,d2Sigma+
661,B4Pi
662,g2Pi
663,c2
664,A
665,D4Delta
666,a2Sigma-
667,C4Sigma-
668,C
669,X4Sigma-
670,e2Phi
671,c2Delta
672,f2
673,d2
674,a2
675,f2Pi
676,b2Gamma
677,A
678,Ap4Phi
679,A4Pi
680,e2
681,g2
682,B
683,d2Sigma+
684,X
685,B4Pi
686,g2Pi
687,b2
688,Ap
689,D
690,a2Sigma-
691,X4Sigma-
692,D4Delta
693,C4Sigma-
694,c2
695,e2Phi
696,c2Delta
697,C
698,X
699,A4Pi
700,Ap4Phi
701,f2
702,b2Gamma
703,A
704,a2
705,f2Pi
706,B
707,d2
708,B4Pi
709,d2Sigma+
710,g2Pi
711,e2
712,b2
713,a2Sigma-
714,Ap
715,X4Sigma-
716,C4Sigma-
717,X
718,g2
719,e2Phi
720,c2Delta
721,D4Delta
722,b2
723,D
724,A4Pi
725,B
726,Ap4Phi
727,c2
728,C
729,g2Pi
730,b2Gamma
731,A
732,B4Pi
733,a2
734,d2Sigma+
735,f2Pi
736,X4Sigma-
737,f2
738,a2Sigma-
739,B
740,d2
741,Ap
742,X
743,C4Sigma-
744,e2
745,C
746,c2Delta
747,e2Phi
748,A4Pi
749,Ap4Phi
750,b2
751,D4Delta
752,g2Pi
753,D
754,b2Gamma
755,g2
756,B4Pi
757,c2
758,A
759,X4Sigma-
760,C
761,d2Sigma+
762,a2Sigma-
763,f2Pi
764,a2
765,A4Pi
766,C4Sigma-
767,D
768,Ap4Phi
769,c2Delta
770,e2Phi
771,X
772,B
773,Ap
774,g2Pi
775,A
776,f2
777,e2
778,d2
779,D4Delta
780,b2Gamma
781,B4Pi
782,b2
783,X4Sigma-
784,C
785,a2Sigma-
786,d2Sigma+
787,D
788,c2
789,A4Pi
790,A
791,Ap4Phi
792,g2Pi
793,g2
794,C4Sigma-
795,c2Delta
796,e2Phi
797,f2Pi
798,a2
799,X
800,Ap
801,B
802,B4Pi
803,b2Gamma
804,X4Sigma-
805,D4Delta
806,e2
807,d2
808,A4Pi
809,a2Sigma-
810,f2
811,A
812,g2Pi
813,b2
814,Ap4Phi
815,d2Sigma+
816,C
817,C4Sigma-
818,c2Delta
819,e2Phi
820,c2
821,D
822,f2Pi
823,B4Pi
824,B
825,X
826,a2
827,Ap
828,b2Gamma
829,g2
830,A4Pi
831,a2Sigma-
832,g2Pi
833,D4Delta
834,Ap4Phi
835,A
836,d2Sigma+
837,e2
838,C4Sigma-
839,B
840,c2Delta
841,d2
842,e2Phi
843,C
844,b2
845,X
846,B4Pi
847,f2
848,f2Pi
849,A4Pi
850,b2Gamma
851,c2
852,g2Pi
853,Ap
854,a2
855,D
856,a2Sigma-
857,Ap4Phi
858,B
859,C
860,D4Delta
861,g2
862,X
863,d2Sigma+
864,C4Sigma-
865,c2Delta
866,A
867,e2Phi
868,B4Pi
869,e2
870,A4Pi
871,g2Pi
872,d2
873,b2Gamma
874,b2
875,Ap4Phi
876,f2Pi
877,a2Sigma-
878,C
879,Ap
880,c2
881,f2
882,X
883,A
884,B
885,a2
886,C4Sigma-
887,d2Sigma+
888,c2Delta
889,D4Delta
890,e2Phi
891,D
892,B4Pi
893,g2Pi
894,A4Pi
895,g2
896,Ap4Phi
897,b2Gamma
898,a2Sigma-
899,A
900,e2
901,C
902,f2Pi
903,X
904,b2
905,d2
906,Ap
907,C4Sigma-
908,g2Pi
909,c2Delta
910,B4Pi
911,e2Phi
912,d2Sigma+
913,A4Pi
914,c2
915,B
916,D4Delta
917,a2
918,Ap4Phi
919,f2
920,b2Gamma
921,A
922,a2Sigma-
923,D
924,g2Pi
925,A4Pi
926,C
927,g2
928,C4Sigma-
929,c2Delta
930,B4Pi
931,f2Pi
932,X
933,e2
934,e2Phi
935,d2Sigma+
936,Ap
937,b2
938,B
939,Ap4Phi
940,d2
941,A
942,D4Delta
943,b2Gamma
944,c2
945,a2Sigma-
946,a2
947,g2Pi
948,A4Pi
949,B4Pi
950,c2Delta
951,C4Sigma-
952,f2
953,e2Phi
954,B
955,D
956,f2Pi
957,Ap4Phi
958,d2Sigma+
959,X
960,C
961,Ap
962,g2Pi
963,e2
964,g2
965,b2Gamma
966,a2Sigma-
967,A
968,D4Delta
969,b2
970,A4Pi
971,d2
972,B4Pi
973,a2
974,B
975,c2
976,c2Delta
977,C4Sigma-
978,e2Phi
979,g2Pi
980,C
981,d2Sigma+
982,X
983,f2Pi
984,a2Sigma-
985,b2Gamma
986,Ap
987,D
988,A
989,f2
990,B4Pi
991,g2
992,D4Delta
993,e2
994,b2
995,g2Pi
996,c2Delta
997,C
998,B
999,C4Sigma-
1000,g2
1001,e2Phi
1002,X
1003,a2
1004,d2Sigma+
1005,b2
1006,d2
1007,c2
1008,a2Sigma-
1009,b2Gamma
1010,g2Pi
1011,D
1012,B4Pi
1013,A
1014,f2Pi
1015,Ap
1016,c2Delta
1017,C
1018,X
1019,C4Sigma-
1020,e2Phi
1021,D4Delta
1022,d2Sigma+
1023,e2
1024,B
1025,g2Pi
1026,a2
1027,b2Gamma
1028,g2
1029,b2
1030,A
1031,D
1032,f2
1033,B4Pi
1034,c2
1035,a2
1036,d2
1037,f2Pi
1038,X
1039,c2Delta
1040,f2
1041,C4Sigma-
1042,e2Phi
1043,Ap
1044,g2Pi
1045,D4Delta
1046,A
1047,d2Sigma+
1048,C
1049,b2Gamma
1050,B4Pi
1051,B
1052,g2Pi
1053,e2
1054,c2Delta
1055,a2
1056,g2
1057,b2
1058,D
1059,e2Phi
1060,C4Sigma-
1061,X
1062,f2Pi
1063,c2
1064,d2Sigma+
1065,Ap
1066,d2
1067,A
1068,b2Gamma
1069,D4Delta
1070,B4Pi
1071,g2Pi
1072,C
1073,f2
1074,B
1075,c2Delta
1076,e2Phi
1077,C4Sigma-
1078,g2Pi
1079,e2
1080,a2
1081,d2Sigma+
1082,B4Pi
1083,f2Pi
1084,X
1085,b2Gamma
1086,Ap
1087,b2
1088,A
1089,g2
1090,B
1091,D4Delta
1092,c2
1093,d2
1094,D
1095,c2Delta
1096,e2Phi
1097,g2Pi
1098,C
1099,C4Sigma-
1100,d2
1101,B4Pi
1102,f2
1103,B
1104,d2Sigma+
1105,b2Gamma
1106,Ap
1107,X
1108,f2Pi
1109,A
1110,g2Pi
1111,c2Delta
1112,e2Phi
1113,e2
1114,a2
1115,D4Delta
1116,C
1117,b2
1118,C4Sigma-
1119,Ap
1120,g2
1121,c2
1122,g2Pi
1123,d2Sigma+
1124,X
1125,D
1126,d2
1127,A
1128,e2Phi
1129,B
1130,f2Pi
1131,C
1132,g2Pi
1133,C4Sigma-
1134,f2
1135,D4Delta
1136,a2
1137,d2Sigma+
1138,Ap
1139,e2
1140,A
1141,X
1142,b2
1143,g2
1144,g2Pi
1145,e2Phi
1146,C4Sigma-
1147,f2Pi
1148,c2
1149,B
1150,D
1151,C
1152,d2
1153,D4Delta
1154,X
1155,g2Pi
1156,d2Sigma+
1157,A
1158,e2Phi
1159,Ap
1160,a2
1161,C4Sigma-
1162,e2
1163,f2
1164,g2
1165,f2Pi
1166,b2
1167,d2Sigma+
1168,D
1169,c2
1170,B
1171,D4Delta
1172,e2Phi
1173,A
1174,C
1175,C4Sigma-
1176,d2
1177,D
1178,Ap
1179,a2
1180,f2Pi
1181,B
1182,e2Phi
1183,D4Delta
1184,g2
1185,X
1186,b2
1187,C4Sigma-
1188,e2
1189,A
1190,C
1191,c2
1192,f2
1193,B
1194,e2Phi
1195,d2
1196,f2Pi
1197,Ap
1198,e2
1199,C4Sigma-
1200,D4Delta
1201,a2
1202,c2
1203,d2
1204,D
1205,A
1206,g2
1207,C
1208,Ap
1209,B
1210,b2
1211,f2Pi
1212,A
1213,C4Sigma-
1214,f2
1215,D4Delta
1216,A
1217,e2
